36 tasks x 248 runs x 500 steps
  task 1/36 done  (34s)
  task 2/36 done  (36s)
  task 3/36 done  (36s)
  task 4/36 done  (36s)
  task 5/36 done  (36s)
  task 6/36 done  (36s)
  task 7/36 done  (42s)
  task 8/36 done  (42s)
  task 9/36 done  (42s)
  task 10/36 done  (42s)
  task 11/36 done  (77s)
  task 12/36 done  (78s)
  task 13/36 done  (82s)
  task 14/36 done  (82s)
  task 15/36 done  (82s)
  task 16/36 done  (83s)
  task 17/36 done  (83s)
  task 18/36 done  (87s)
  task 19/36 done  (90s)
  task 20/36 done  (90s)
  task 21/36 done  (123s)
  task 22/36 done  (124s)
  task 23/36 done  (130s)
  task 24/36 done  (130s)
  task 25/36 done  (135s)
  task 26/36 done  (136s)
  task 27/36 done  (136s)
  task 28/36 done  (138s)
  task 29/36 done  (141s)
  task 30/36 done  (141s)
  task 31/36 done  (168s)
  task 32/36 done  (168s)
  task 33/36 done  (172s)
  task 34/36 done  (172s)
  task 35/36 done  (174s)
  task 36/36 done  (174s)
saved results/sweep.npz  (8928 runs, 174s)
